time,side,volume,price,soc_before,soc_after,cost_convex,cost_linear
2024-02-11 07:00:00+00:00,discharge,4.75,101.26,6.625,1.875,23.259152146962343,19.0
2024-02-11 08:00:00+00:00,charge,5.0,13.48,1.875,6.625,0.0,0.0
2024-02-11 09:00:00+00:00,discharge,4.75,96.15,6.625,1.875,23.259152146962343,19.0
2024-02-11 10:00:00+00:00,charge,5.0,14.07,1.875,6.625,0.0,0.0
2024-02-11 11:00:00+00:00,discharge,4.75,99.7,6.625,1.875,23.259152146962343,19.0
2024-02-11 12:00:00+00:00,charge,5.0,12.2,1.875,6.625,0.0,0.0
2024-02-11 13:00:00+00:00,discharge,4.75,104.42,6.625,1.875,23.259152146962343,19.0
2024-02-11 14:00:00+00:00,charge,5.0,14.08,1.875,6.625,0.0,0.0
2024-02-11 15:00:00+00:00,discharge,4.75,104.5,6.625,1.875,23.259152146962343,19.0
2024-02-11 16:00:00+00:00,charge,5.0,13.36,1.875,6.625,0.0,0.0
2024-02-11 17:00:00+00:00,discharge,4.75,96.95,6.625,1.875,23.259152146962343,19.0
2024-02-11 18:00:00+00:00,charge,5.0,14.36,1.875,6.625,0.0,0.0
2024-02-11 19:00:00+00:00,discharge,4.75,95.71,6.625,1.875,23.259152146962343,19.0
2024-02-11 20:00:00+00:00,charge,5.0,11.72,1.875,6.625,0.0,0.0
2024-02-11 21:00:00+00:00,discharge,4.75,106.6,6.625,1.875,23.259152146962343,19.0
2024-02-11 22:00:00+00:00,charge,5.0,15.77,1.875,6.625,0.0,0.0
2024-02-11 23:00:00+00:00,discharge,4.75,101.09,6.625,1.875,23.259152146962343,19.0
2024-02-12 00:00:00+00:00,charge,5.0,17.9,1.875,6.625,0.0,0.0
2024-02-12 01:00:00+00:00,discharge,4.75,98.89,6.625,1.875,23.259152146962343,19.0
2024-02-12 02:00:00+00:00,charge,5.0,11.72,1.875,6.625,0.0,0.0
2024-02-12 03:00:00+00:00,discharge,4.75,103.53,6.625,1.875,23.259152146962343,19.0
2024-02-12 04:00:00+00:00,charge,5.0,15.58,1.875,6.625,0.0,0.0
2024-02-12 05:00:00+00:00,discharge,4.75,103.52,6.625,1.875,23.259152146962343,19.0
2024-02-12 06:00:00+00:00,charge,5.0,11.41,1.875,6.625,0.0,0.0
2024-02-12 07:00:00+00:00,discharge,4.75,97.92,6.625,1.875,23.259152146962343,19.0
2024-02-12 08:00:00+00:00,charge,5.0,15.07,1.875,6.625,0.0,0.0
2024-02-12 09:00:00+00:00,discharge,4.75,105.75,6.625,1.875,23.259152146962343,19.0
2024-02-12 10:00:00+00:00,charge,5.0,12.36,1.875,6.625,0.0,0.0
2024-02-12 11:00:00+00:00,discharge,4.75,96.5,6.625,1.875,23.259152146962343,19.0
2024-02-12 12:00:00+00:00,charge,5.0,15.78,1.875,6.625,0.0,0.0
2024-02-12 13:00:00+00:00,discharge,4.75,96.93,6.625,1.875,23.259152146962343,19.0
2024-02-12 14:00:00+00:00,charge,5.0,13.23,1.875,6.625,0.0,0.0
2024-02-12 15:00:00+00:00,discharge,4.75,104.35,6.625,1.875,23.259152146962343,19.0
2024-02-12 16:00:00+00:00,charge,5.0,12.25,1.875,6.625,0.0,0.0
2024-02-12 17:00:00+00:00,discharge,4.75,97.96,6.625,1.875,23.259152146962343,19.0
2024-02-12 18:00:00+00:00,charge,5.0,13.51,1.875,6.625,0.0,0.0
2024-02-12 19:00:00+00:00,discharge,4.75,103.94,6.625,1.875,23.259152146962343,19.0
2024-02-12 20:00:00+00:00,charge,5.0,13.16,1.875,6.625,0.0,0.0
2024-02-12 21:00:00+00:00,discharge,4.75,103.4,6.625,1.875,23.259152146962343,19.0
2024-02-12 22:00:00+00:00,charge,5.0,16.44,1.875,6.625,0.0,0.0
2024-02-12 23:00:00+00:00,discharge,4.75,101.5,6.625,1.875,23.259152146962343,19.0
2024-02-13 00:00:00+00:00,charge,5.0,14.32,1.875,6.625,0.0,0.0
2024-02-13 01:00:00+00:00,discharge,4.75,96.45,6.625,1.875,23.259152146962343,19.0
2024-02-13 02:00:00+00:00,charge,5.0,12.59,1.875,6.625,0.0,0.0
2024-02-13 03:00:00+00:00,discharge,4.75,97.91,6.625,1.875,23.259152146962343,19.0
2024-02-13 04:00:00+00:00,charge,5.0,15.49,1.875,6.625,0.0,0.0
2024-02-13 05:00:00+00:00,discharge,4.75,101.25,6.625,1.875,23.259152146962343,19.0
2024-02-13 06:00:00+00:00,charge,5.0,15.74,1.875,6.625,0.0,0.0
2024-02-13 07:00:00+00:00,discharge,4.75,103.89,6.625,1.875,23.259152146962343,19.0
2024-02-13 08:00:00+00:00,charge,5.0,13.03,1.875,6.625,0.0,0.0
